mukey,areasymbol,musym,muname,compname,comppct_r,hydgrp,drainagecl,floodfreq,pondfreq,ksat_um_s,ksat_in_hr,awc,aashto,uscs,reskind,resdept_ft,wtdepannmin_ft,eng_roads,eng_shallow_excav,eng_dwellings,eng_sand_source
1606124,DE001,OtA,"Othello silt loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Othello,48,C/D,Poorly drained,None,86,9,1.2756,0.17,A-4,CL,,,0.4,Very limited,Very limited,Very limited,Fair
1606126,DE001,PrA,"Pepperbox-Rockawalkin complex, 0 to 2 percent slopes",Pepperbox,50,A,Moderately well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606127,DE001,PsA,"Pepperbox-Rosedale complex, 0 to 2 percent slopes",Pepperbox,46,A,Moderately well drained,None,0,92,13.0393,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606129,DE001,PsB,"Pepperbox-Rosedale complex, 2 to 5 percent slopes",Pepperbox,46,A,Moderately well drained,None,0,135,19.1338,0.1,A-2-4,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606138,DE001,PyA,"Pineyneck loam, 0 to 2 percent slopes",Pineyneck,80,C,Moderately well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606139,DE001,PyB,"Pineyneck loam, 2 to 5 percent slopes",Pineyneck,80,C,Moderately well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606141,DE001,Pk,"Puckum muck, frequently flooded",Puckum,85,A/D,Very poorly drained,Frequent,100,92,13.0393,0.4,A-8,PT,,,0.2,Very limited,Very limited,Very limited,Poor
1606151,DE001,RkA,"Rockawalkin loamy sand, 0 to 2 percent slopes",Rockawalkin,75,A,Moderately well drained,None,0,92,13.0393,0.07,A-2,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606157,DE001,RkB,"Rockawalkin loamy sand, 2 to 5 percent slopes",Rockawalkin,75,A,Moderately well drained,None,0,92,13.0393,0.07,A-2,SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
1606172,DE001,RoA,"Rosedale loamy sand, 0 to 2 percent slopes",Rosedale,75,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SC-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606173,DE001,RoB,"Rosedale loamy sand, 2 to 5 percent slopes",Rosedale,75,A,Well drained,None,0,92,13.0393,0.07,A-2-4,SC-SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606174,DE001,RuA,"Runclint loamy sand, 0 to 2 percent slopes",Runclint,75,A,Excessively drained,None,5,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606175,DE001,RuB,"Runclint loamy sand, 2 to 5 percent slopes",Runclint,75,A,Excessively drained,None,5,92,13.0393,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1606176,DE001,SlA,"Sassafras loam, 0 to 2 percent slopes",Sassafras,80,B,Well drained,None,0,28,3.9685,0.13,A-4,SC,,,,Somewhat limited,Very limited,Not limited,Fair
