mukey,areasymbol,musym,muname,compname,comppct_r,hydgrp,drainagecl,floodfreq,pondfreq,ksat_um_s,ksat_in_hr,awc,aashto,uscs,reskind,resdept_ft,wtdepannmin_ft,eng_roads,eng_shallow_excav,eng_dwellings,eng_sand_source
2479841,DE003,TeA,"Tent silt loam, 0 to 2 percent slopes",Tent,50,C/D,Poorly drained,None,85,9,1.2756,0.21,A-6,CL,,,0.4,Very limited,Very limited,Very limited,Poor
2479842,DE003,MtcA,"Mattapex silt loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Mattapex,80,C,Moderately well drained,None,5,5.64,0.7994,0.21,A-4,CL,,,2.0,Very limited,Very limited,Somewhat limited,Fair
2479843,DE003,MtaB,"Mattapex silt loam, 2 to 5 percent slopes, northern coastal plain",Mattapex,80,C,Moderately well drained,None,5,5.64,0.7994,0.21,A-4,CL,,,2.0,Very limited,Very limited,Somewhat limited,Fair
2479844,DE003,MtC,"Mattapex silt loam, 5 to 10 percent slopes",Mattapex,75,C,Moderately well drained,None,2,5.64,0.7994,0.21,A-4,ML,,,2.0,Very limited,Very limited,Somewhat limited,Fair
2479845,DE003,MuB,"Mattapex-Urban land complex, 0 to 5 percent slopes",Mattapex,50,C,Moderately well drained,None,0,5.64,0.7994,0.21,A-4,ML,,,2.0,Very limited,Very limited,Somewhat limited,Fair
2479846,DE003,OtA,"Othello silt loams, 0 to 2 percent slopes, northern coastal plain",Othello,50,C/D,Poorly drained,None,95,9,1.2756,0.17,A-4,CL,,,0.4,Very limited,Very limited,Very limited,Fair
2479847,DE003,UlA,"Unicorn loam, 0 to 2 percent slopes",Unicorn,85,C,Well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
2479848,DE003,UlB,"Unicorn loam, 2 to 5 percent slopes",Unicorn,85,C,Well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,3.7,Somewhat limited,Very limited,Not limited,Fair
2479849,DE003,PyA,"Pineyneck loam, 0 to 2 percent slopes",Pineyneck,80,C,Moderately well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479850,DE003,PyB,"Pineyneck loam, 2 to 5 percent slopes",Pineyneck,80,C,Moderately well drained,None,0,5.64,0.7994,0.21,A-4,CL-ML,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479851,DE003,ESA,"Endoaquepts and Sulfaquepts, 0 to 5 percent slopes",Endoaquepts,50,C,Poorly drained,None,90,0.91,0.129,0.15,A-6,CL,,,,Very limited,Very limited,Very limited,Poor
2479852,DE003,UdrB,"Udorthents, dredged fine material, 0 to 8 percent slopes",Udorthents,90,C,Well drained,None,0,9,1.2756,0.18,A-4,CL-ML,,,,Somewhat limited,Somewhat limited,Not limited,Poor
2479853,DE003,Ht,"Hatboro silt loam, 0 to 3 percent slopes, frequently flooded",Hatboro,90,B/D,Poorly drained,Frequent,90,9.17,1.2997,0.19,A-4,CL-ML,Lithic bedrock,9.8,0.3,Very limited,Very limited,Very limited,Fair
2479854,DE003,Hw,"Hatboro-Codorus complex, 0 to 3 percent slopes, frequently flooded",Hatboro,50,B/D,Poorly drained,Frequent,50,9.17,1.2997,0.19,A-4,CL-ML,Lithic bedrock,9.8,0.3,Very limited,Very limited,Very limited,Fair
2479855,DE003,Ch,"Codorus silt loam, 0 to 3 percent slopes, occasionally flooded",Codorus,80,C,Moderately well drained,Occasional,0,9.17,1.2997,0.21,A-4,CL,,,2.3,Very limited,Very limited,Very limited,Poor
2479856,DE003,Cp,"Comus silt loam, 0 to 3 percent slopes, occasionally flooded",Comus,85,B,Well drained,Occasional,0,9.17,1.2997,0.2,A-4,ML,,,3.7,Very limited,Very limited,Very limited,Fair
2479857,DE003,EnB,"Elsinboro silt loam, 3 to 8 percent slopes",Elsinboro,95,B,Well drained,None,0,9,1.2756,0.21,A-4,CL,Lithic bedrock,9.8,,Somewhat limited,Very limited,Not limited,Fair
2479858,DE003,ErB,"Elsinboro-Delanco-Urban land complex, 0 to 8 percent slopes",Elsinboro,45,B,Well drained,None,0,9,1.2756,0.21,A-4,CL,Lithic bedrock,9.8,2.0,Somewhat limited,Very limited,Not limited,Fair
2479859,DE003,DaB,"Delanco silt loam, 3 to 8 percent slopes",Delanco,90,C,Moderately well drained,None,0,4.23,0.5995,0.22,A-4,CL-ML,Lithic bedrock,9.8,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2479860,DE003,DcB,"Delanco-Codorus-Hatboro complex, 0 to 8 percent slopes, flooded",Delanco,40,C,Moderately well drained,None,25,4.23,0.5995,0.22,A-4,CL-ML,Lithic bedrock,9.8,0.3,Very limited,Very limited,Very limited,Fair
2479861,DE003,UaB,"Udorthents, bedrock substratum, 0 to 8 percent slopes",Udorthents,95,C,Well drained,None,0,2.33,0.3302,0.16,A-4,CL,Paralithic bedrock,5.4,5.0,Very limited,Somewhat limited,Not limited,Poor
2479862,DE003,NxB,"Neshaminy-Urban land complex, 0 to 8 percent slopes",Neshaminy,55,B,Well drained,None,0,9.17,1.2997,0.2,A-6,CL,Lithic bedrock,8.2,,Somewhat limited,Somewhat limited,Not limited,Poor
2479863,DE003,VwB,"Urban land-Wheaton complex, 0 to 8 percent slopes",Urban land,60,,,None,0,,,,,,Lithic bedrock,5.4,,Not rated,Not rated,Not rated,Not rated
2479864,DE003,Uy,"Urban land, bedrock substratum",Urban land,80,,,None,0,,,,,,Lithic bedrock,5.4,,Not rated,Not rated,Not rated,Not rated
2479865,DE003,BbB,"Baile-Glenville complex, 0 to 8 percent slopes",Baile,55,B/D,Poorly drained,None,55,4.23,0.5995,0.22,A-4,CL,Lithic bedrock,6.6,0.4,Very limited,Very limited,Very limited,Poor
2479866,DE003,GnA,"Glenville silt loam, somewhat poorly drained, 0 to 3 percent slopes",Glenville,85,C/D,Somewhat poorly drained,None,10,9,1.2756,0.18,A-4,CL-ML,Fragipan,2.5,1.1,Very limited,Very limited,Very limited,Poor
2479867,DE003,GnB,"Glenville silt loam, 3 to 8 percent slopes",Glenville,75,C/D,Moderately well drained,None,10,9,1.2756,0.2,A-4,CL,Fragipan,2.5,1.7,Very limited,Very limited,Very limited,Poor
2479868,DE003,GnC,"Glenville silt loam, somewhat poorly drained, 8 to 15 percent slopes",Glenville,85,C/D,Somewhat poorly drained,None,5,9,1.2756,0.18,A-4,CL-ML,Fragipan,2.5,1.1,Very limited,Very limited,Very limited,Poor
2479869,DE003,NtB,"Neshaminy silt loam, 3 to 8 percent slopes",Neshaminy,85,B,Well drained,None,0,9.17,1.2997,0.2,A-6,CL,Lithic bedrock,8.2,,Somewhat limited,Somewhat limited,Not limited,Poor
2479870,DE003,NtC,"Neshaminy silt loam, 8 to 15 percent slopes",Neshaminy,90,B,Well drained,None,0,9.17,1.2997,0.2,A-6,CL,Lithic bedrock,8.2,,Somewhat limited,Very limited,Somewhat limited,Poor
2479871,DE003,MzA,"Mount Lucas silt loam, 0 to 3 percent slopes",Mount Lucas,90,C/D,Moderately well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,Lithic bedrock,8.2,1.7,Somewhat limited,Very limited,Somewhat limited,Fair
2479872,DE003,MzB,"Mount Lucas silt loam, 3 to 8 percent slopes",Mount Lucas,90,C,Moderately well drained,None,0,9,1.2756,0.18,A-6,CL,,,2.5,Somewhat limited,Very limited,Not limited,Poor
2479873,DE003,MxB,"Montalto silt loam, 3 to 8 percent slopes",Montalto,85,B,Well drained,None,0,10,1.4173,0.18,A-6,CL,Lithic bedrock,9.8,,Somewhat limited,Somewhat limited,Somewhat limited,Poor
2479874,DE003,MxC,"Montalto silt loam, 8 to 15 percent slopes",Montalto,90,B,Well drained,None,0,10,1.4173,0.18,A-6,CL,Lithic bedrock,9.8,,Somewhat limited,Very limited,Somewhat limited,Poor
2479875,DE003,NvC,"Neshaminy-Montalto silt loams, 8 to 15 percent slopes, very stony",Neshaminy,50,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL,Lithic bedrock,8.2,,Somewhat limited,Very limited,Somewhat limited,Poor
2479876,DE003,NvD,"Neshaminy-Montalto silt loams, 15 to 25 percent slopes, very stony",Neshaminy,55,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL,Lithic bedrock,8.2,,Very limited,Very limited,Very limited,Poor
2479877,DE003,NvE,"Neshaminy-Montalto silt loams, 25 to 45 percent slopes, very stony",Neshaminy,55,B,Well drained,None,0,9.17,1.2997,0.2,A-4,CL,Lithic bedrock,8.2,,Very limited,Very limited,Very limited,Poor
2479878,DE003,MzuB,"Mount Lucas-Urban land complex, 0 to 8 percent slopes",Mount Lucas,70,C/D,Moderately well drained,None,0,9.17,1.2997,0.2,A-4,CL-ML,Lithic bedrock,8.2,1.7,Somewhat limited,Very limited,Somewhat limited,Fair
2479879,DE003,GeA,"Glenelg loam, 0 to 3 percent slopes",Glenelg,85,B,Well drained,None,0,9,1.2756,0.16,A-6,CL,,,,Somewhat limited,Very limited,Not limited,Fair
2479880,DE003,GeB,"Glenelg loam, 3 to 8 percent slopes",Glenelg,85,B,Well drained,None,0,9,1.2756,0.19,A-6,ML,,,,Somewhat limited,Very limited,Not limited,Fair
2479881,DE003,GeC,"Glenelg loam, 8 to 15 percent slopes",Glenelg,90,B,Well drained,None,0,9.17,1.2997,0.16,A-6,ML,,,,Somewhat limited,Very limited,Somewhat limited,Fair
2479882,DE003,BkD,"Brinklow channery loam, 15 to 25 percent slopes",Brinklow,80,C,Well drained,None,0,4.23,0.5995,0.21,A-6,CL,Paralithic bedrock,2.1,,Very limited,Very limited,Very limited,Poor
2479883,DE003,BnF,"Brinklow-Blocktown complex, 25 to 65 percent slopes",Brinklow,55,C,Well drained,None,0,4.23,0.5995,0.15,A-6,CL,Paralithic bedrock,2.1,,Very limited,Very limited,Very limited,Poor
2479884,DE003,BrvF,"Brinklow channery loam, 25 to 65 percent slopes, very stony",Brinklow,70,C,Well drained,None,0,4.23,0.5995,0.15,A-6,CL,Paralithic bedrock,2.1,,Very limited,Very limited,Very limited,Poor
2479885,DE003,MaC,"Manor loam, 8 to 15 percent slopes",Manor,85,B,Well drained,None,0,9,1.2756,0.19,A-6,CL,Paralithic bedrock,6.9,,Somewhat limited,Very limited,Somewhat limited,Fair
2479886,DE003,MaD,"Manor loam, 15 to 25 percent slopes",Manor,85,B,Well drained,None,0,9,1.2756,0.17,A-6,CL,Paralithic bedrock,6.9,,Very limited,Very limited,Very limited,Fair
2479887,DE003,MaE,"Manor loam, 25 to 45 percent slopes",Manor,85,B,Well drained,None,0,9,1.2756,0.1,A-4,ML,Paralithic bedrock,6.9,,Very limited,Very limited,Very limited,Fair
2479888,DE003,GgA,"Glenelg silt loam, 0 to 3 percent slopes",Glenelg,85,B,Well drained,None,0,9.17,1.2997,0.19,A-4,CL,Lithic bedrock,8.2,,Somewhat limited,Somewhat limited,Not limited,Fair
2479889,DE003,GgB,"Glenelg silt loam, 3 to 8 percent slopes",Glenelg,85,B,Well drained,None,0,9.17,1.2997,0.19,A-6,CL,,,,Somewhat limited,Very limited,Not limited,Poor
2479890,DE003,GgC,"Glenelg silt loam, 8 to 15 percent slopes",Glenelg,85,B,Well drained,None,0,9.17,1.2997,0.19,A-6,CL,,,,Somewhat limited,Very limited,Somewhat limited,Fair
2479891,DE003,GgD,"Glenelg silt loam, 15 to 25 percent slopes",Glenelg,85,B,Well drained,None,0,9.17,1.2997,0.19,A-4,CL,Lithic bedrock,8.2,,Very limited,Very limited,Very limited,Fair
2479892,DE003,GhB,"Glenelg-Wheaton-Urban land complex, 0 to 8 percent slopes",Glenelg,45,B,Well drained,None,0,9.17,1.2997,0.19,A-6,CL,Lithic bedrock,8.2,,Somewhat limited,Somewhat limited,Not limited,Fair
2479893,DE003,GhC,"Glenelg-Wheaton-Urban land complex, 8 to 15 percent slopes",Glenelg,45,B,Well drained,None,0,9.17,1.2997,0.19,A-6,CL,Lithic bedrock,8.2,,Somewhat limited,Very limited,Somewhat limited,Fair
2479894,DE003,GaC,"Gaila loam, 8 to 15 percent slopes",Gaila,85,B,Well drained,None,0,9,1.2756,0.14,A-4,CL-ML,Lithic bedrock,8.2,,Somewhat limited,Very limited,Somewhat limited,Fair
2479895,DE003,GaD,"Gaila loam, 15 to 25 percent slopes",Gaila,90,B,Well drained,None,0,9,1.2756,0.14,A-4,CL-ML,Lithic bedrock,8.2,,Very limited,Very limited,Very limited,Fair
2479896,DE003,GaE,"Gaila loam, 25 to 45 percent slopes",Gaila,80,B,Well drained,None,0,9,1.2756,0.14,A-4,CL-ML,Lithic bedrock,8.2,,Very limited,Very limited,Very limited,Fair
2479897,DE003,WaA,"Watchung silt loam, 0 to 3 percent slopes",Watchung,90,C/D,Poorly drained,None,0,2.75,0.3898,0.21,A-6,CL,Lithic bedrock,8.2,0.4,Very limited,Very limited,Very limited,Poor
2479898,DE003,WaB,"Watchung silt loam, 3 to 8 percent slopes",Watchung,90,C/D,Poorly drained,None,0,2.75,0.3898,0.21,A-6,CL,Lithic bedrock,8.2,0.4,Very limited,Very limited,Very limited,Poor
2479899,DE003,WcB,"Watchung silt loam, 0 to 8 percent slopes, very stony",Watchung,85,C/D,Poorly drained,None,0,2.75,0.3898,0.21,A-6,CL,Lithic bedrock,8.2,0.4,Very limited,Very limited,Very limited,Poor
2479900,DE003,TaB,"Talleyville silt loam, 3 to 8 percent slopes",Talleyville,80,B,Well drained,None,0,9.17,1.2997,0.23,A-4,CL,Lithic bedrock,8.2,,Very limited,Somewhat limited,Not limited,Poor
2479901,DE003,TdB,"Talleyville-Montalto-Urban land complex, 0 to 8 percent slopes",Talleyville,45,B,Well drained,None,0,9.17,1.2997,0.23,A-4,CL,Lithic bedrock,8.2,,Very limited,Somewhat limited,Not limited,Poor
2893490,DE001,FadA,"Fallsington sandy loams, 0 to 2 percent slopes, Northern Tidewater Area",Fallsington,48,B/D,Poorly drained,None,83,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2893557,DE003,FacA,"Fallsington sandy loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Fallsington,48,C/D,Poorly drained,None,78,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2893559,DE005,FacA,"Fallsington sandy loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Fallsington,48,C/D,Poorly drained,None,78,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2893607,DE003,FgcA,"Fallsington loams, 0 to 2 percent slopes, Mid-Altlantic Coastal Plain",Fallsington,38,C/D,Poorly drained,None,81,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2893613,DE005,FgcA,"Fallsington loams, 0 to 2 percent slopes, Mid-Altlantic Coastal Plain",Fallsington,38,C/D,Poorly drained,None,81,600,85.0392,0.44,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
2950696,DE001,WodA,"Woodstown loam, 0 to 2 percent slopes, Northern Tidewater Area",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2950698,DE003,WocA,"Woodstown loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2950700,DE005,WodA,"Woodstown loam, 0 to 2 percent slopes, Northern Tidewater Area",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2950716,DE003,WocB,"Woodstown loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,18,2.5512,0.13,A-4,SC,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2955430,DE003,OtcA,"Othello silt loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Othello,48,C/D,Poorly drained,None,86,9,1.2756,0.17,A-4,CL,,,0.4,Very limited,Very limited,Very limited,Fair
2955458,DE001,WdcA,"Woodstown sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2955460,DE003,WdcA,"Woodstown sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2955462,DE005,WdcA,"Woodstown sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2955493,DE003,WdcB,"Woodstown sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Woodstown,80,C,Moderately well drained,None,6,28,3.9685,0.13,A-2-4,SC-SM,,,2.0,Somewhat limited,Very limited,Somewhat limited,Fair
2955525,DE001,DndB,"Downer loamy sand, 2 to 5 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
2955543,DE001,DocB,"Downer sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
2955545,DE003,DocB,"Downer sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
2955547,DE005,DocB,"Downer sandy loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973735,DE001,SacA,"Sassafras sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973736,DE001,SadA,"Sassafras sandy loam, 0 to 2 percent slopes, Northern Tidewater Area",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973737,DE003,SacA,"Sassafras sandy loam, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973738,DE003,SaaA,"Sassafras sandy loam, 0 to 2 percent slopes, Northern Coastal Plain",Sassafras,80,B,Well drained,None,4,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973758,DE001,SadB,"Sassafras sandy loam, 2 to 5 percent slopes, Northern Tidewater Area",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973760,DE003,SaaB,"Sassafras sandy loam, 2 to 5 percent slopes, Northern Coastal Plain",Sassafras,80,B,Well drained,None,4,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
2973786,DE003,MtaA,"Mattapex silt loam, 0 to 2 percent slopes, northern coastal plain",Mattapex,80,C,Moderately well drained,None,5,5.64,0.7994,0.21,A-4,CL,,,2.0,Very limited,Very limited,Somewhat limited,Fair
2973827,DE003,MtcB,"Mattapex silt loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain",Mattapex,80,C,Moderately well drained,None,5,5.64,0.7994,0.21,A-4,CL,,,2.0,Very limited,Very limited,Somewhat limited,Fair
2973862,DE003,SacC,"Sassafras sandy loam, 5 to 10 percent slopes, Mid-Atlantic Coastal Plain",Sassafras,80,B,Well drained,None,0,23.29,3.3009,0.14,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
3050295,DE003,DocC,"Downer sandy loam, 5 to 10 percent slopes, Mid-Atlantic Coastal Plain",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
3050493,DE005,WCt2,"Cottman fine sandy loam, 1 to 2 meter water depth",Cottman,75,D,Subaqueous,Very frequent,0,14,1.9842,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050494,DE005,WDe0,"Demas fine sand, 0 to 0.5 meter water depth",Demas,78,D,Subaqueous,Very frequent,0,100,14.1732,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050495,DE005,WDe1,"Demas fine sand, 0.5 to 1 meter water depth",Demas,78,D,Subaqueous,Very frequent,0,100,14.1732,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050496,DE005,WDe2,"Demas fine sand, 1 to 2 meter water depth",Demas,78,D,Subaqueous,Very frequent,0,100,14.1732,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050497,DE005,WMd1,"Middlemoor silt loam, 0 to 1 meter water depth",Middlemoor,82,D,Subaqueous,Very frequent,0,4,0.5669,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050498,DE005,WPa0,"Pasture Point loamy fine sand, 0 to 0.5 meter water depth",Pasture Point,85,D,Subaqueous,Very frequent,0,91.74,13.0025,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050499,DE005,WPa1,"Pasture Point loamy fine sand, 0.5 to 1 meter water depth",Pasture Point,85,D,Subaqueous,Very frequent,0,91.74,13.0025,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050500,DE005,WTp0,"Trappe sandy loam, 0 to 0.5 meter water depth",Trappe,85,D,Subaqueous,Very frequent,0,28,3.9685,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050501,DE005,WTp1,"Trappe sandy loam, 0.5 to 1 meter water depth",Trappe,85,D,Subaqueous,Very frequent,0,28,3.9685,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050502,DE005,WTp2,"Trappe sandy loam, 1 to 2 meter water depth",Trappe,85,D,Subaqueous,Very frequent,0,28,3.9685,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050503,DE005,WDc2,"Dredge Channel, 1 to 4 meter water depth",Water,100,D,Subaqueous,Very frequent,0,,,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050504,DE005,WFg3,"Tingles-Figgs complex, 2 to 3 meter water depth",Tingles,40,D,Subaqueous,Very frequent,0,4,0.5669,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050505,DE005,WHe1,"Herring Creek mucky silt loam, 0 to 1 meter water depth",Herring Creek,85,D,Subaqueous,Very frequent,0,4,0.5669,,A-8,PT,,,0.0,Not rated,Not rated,Not rated,Not rated
3050506,DE005,WIr1,"Indian River sand, 0 to 1 meter water depth, flat",Indian River,85,D,Subaqueous,Very frequent,0,100,14.1732,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050507,DE005,WIr2,"Indian River sand, 1 to 2 meter water depth, flat",Indian River,85,D,Subaqueous,Very frequent,0,100,14.1732,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050508,DE005,WIr3,"Indian River sand, 2 to 5 meter water depth, tidal inlet",Indian River,90,D,Subaqueous,Very frequent,0,100,14.1732,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050509,DE005,WPa2,"Pasture Point loamy fine sand, 1 to 2 meter water depth",Pasture Point,85,D,Subaqueous,Very frequent,0,91.74,13.0025,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3050510,DE005,WSo1,"Truitt-Southpoint complex, 0 to 1 meter water depth",Truitt,40,D,Subaqueous,Very frequent,0,4,0.5669,,A-8,PT,,,0.0,Not rated,Not rated,Not rated,Not rated
3050511,DE005,WSo2,"Truitt-Southpoint complex, 1 to 2 meter water depth",Truitt,40,D,Subaqueous,Very frequent,0,4,0.5669,,A-8,PT,,,0.0,Not rated,Not rated,Not rated,Not rated
3098251,DE005,AcC,"Acquango sand, 5 to 10 percent slopes, occasionally flooded",Acquango,80,A,Excessively drained,Occasional,5,600,85.0392,0.05,A-3,SP,,,,Very limited,Very limited,Very limited,Good
3098252,DE005,Be,"Beaches, very frequently flooded",Beaches,85,,Very poorly drained,Very frequent,5,91.74,13.0025,0.04,A-3,SP-SM,,,0.5,Very limited,Very limited,Very limited,Not rated
3192457,DE005,WFg2,"Figgs loam, 1 to 2 meter water depth",Figgs,80,D,Subaqueous,Very frequent,0,4,0.5669,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3192458,DE005,WTl2,"Tingles silt loam, 1 to 2 meter water depth",Tingles,85,D,Subaqueous,Very frequent,0,4,0.5669,,,,,,0.0,Not rated,Not rated,Not rated,Not rated
3347296,DE003,UgB,"Urban land, gravelly sand substratum, 0 to 8 percent slopes",Urban land,90,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
3347297,DE003,PoB,"Pineyneck-Urban land-Greenbelt complex, 0 to 8 percent slopes",Pineyneck,36,C,Moderately well drained,None,0,5.5,0.7795,0.23,A-4,CL-ML,,,5.8,Somewhat limited,Very limited,Not limited,Fair
3347298,DE003,UkB,"Urban land-Wheaton complex, mafic gneiss, 0 to 8 percent slopes",Urban land,60,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
3347299,DE003,NuB,"Neshaminy-Urban land-Wheaton complex, 0 to 8 percent slopes",Neshaminy,36,C,Well drained,None,0,5.5,0.7795,0.12,A-4,SM,Lithic bedrock,6.6,,Somewhat limited,Somewhat limited,Somewhat limited,Poor
3347300,DE003,UmB,"Urban land-Wheaton complex, schist and gneiss, 0 to 8 percent slopes",Urban land,60,,,None,0,,,,,,,,,Not rated,Not rated,Not rated,Not rated
3347301,DE003,PaD,"Parker gravelly loam, 8 to 25 percent slopes, very stony",Parker,96,B,Somewhat excessively drained,None,0,55,7.7953,0.16,A-4,SC,Lithic bedrock,6.0,,Very limited,Very limited,Very limited,Fair
3347302,DE003,PaF,"Parker gravelly loam, 25 to 55 percent slopes, very stony",Parker,97,B,Somewhat excessively drained,None,0,55,7.7953,0.16,A-4,SC,Lithic bedrock,6.0,,Very limited,Very limited,Very limited,Fair
3347303,DE003,SaB,"Sassafras loam, 2 to 5 percent slopes",Sassafras,85,B,Well drained,None,5,55,7.7953,0.24,A-4,CL,,,,Somewhat limited,Very limited,Not limited,Fair
3349535,DE001,MakAd,"Manahawkin muck, 0 to 2 percent slopes, frequently flooded, Northern Tidewater Area",Manahawkin,80,A/D,Very poorly drained,Frequent,5,92,13.0393,0.45,A-8,PT,,,0.0,Very limited,Very limited,Very limited,Poor
3433443,DE005,LO,"Longmarsh and Indiantown soils, 0 to 1 percent slopes, frequently flooded",Longmarsh,43,B/D,Very poorly drained,Frequent,95,600,85.0392,0.45,A-8,PT,,,0.0,Very limited,Very limited,Very limited,Fair
3433446,DE005,NM,"Nanticoke and Mannington soils, 0 to 1 percent slopes, very frequently flooded, tidal",Nanticoke,50,C/D,Very poorly drained,Very frequent,0,2.82,0.3997,0.15,A-5,OL,,,0.0,Very limited,Very limited,Very limited,Poor
3433451,DE005,Pk,"Puckum muck, 0 to 2 percent slopes, frequently flooded, occasionally ponded",Puckum,85,A/D,Very poorly drained,Frequent,100,92,13.0393,0.37,A-8,PT,,,0.0,Very limited,Very limited,Very limited,Poor
